N,M,id,E,maxIter,eta,runtime(s)
16,79,150,3,10000,0.25,0.027998
16,79,151,3,10000,0.25,0.024901
16,79,152,2,10000,0.25,0.02363
16,79,153,2,10000,0.25,0.024666
16,79,154,3,10000,0.25,0.027132
16,79,155,2,10000,0.25,0.025961
16,79,156,1,10000,0.25,0.02382
16,79,157,2,10000,0.25,0.027412
16,79,158,3,10000,0.25,0.026466
16,79,159,3,10000,0.25,0.025359
16,79,160,2,10000,0.25,0.026271
16,79,161,2,10000,0.25,0.023592
16,79,162,1,10000,0.25,0.022508
16,79,163,3,10000,0.25,0.026202
16,79,164,2,10000,0.25,0.025862
16,79,165,3,10000,0.25,0.028354
16,79,166,2,10000,0.25,0.03251
16,79,167,2,10000,0.25,0.025881
16,79,168,3,10000,0.25,0.024173
16,79,169,1,10000,0.25,0.022919
16,79,170,2,10000,0.25,0.024108
16,79,171,2,10000,0.25,0.026289
16,79,172,3,10000,0.25,0.026052
16,79,173,2,10000,0.25,0.02343
16,79,174,2,10000,0.25,0.026768
16,79,175,2,10000,0.25,0.024842
16,79,176,1,10000,0.25,0.02439
16,79,177,3,10000,0.25,0.02904
16,79,178,3,10000,0.25,0.025962
16,79,179,3,10000,0.25,0.025576
16,79,180,2,10000,0.25,0.028591
16,79,181,2,10000,0.25,0.02572
16,79,182,2,10000,0.25,0.022704
16,79,183,3,10000,0.25,0.028994
16,79,184,2,10000,0.25,0.029889
16,79,185,3,10000,0.25,0.02719
16,79,186,2,10000,0.25,0.027649
16,79,187,3,10000,0.25,0.026982
16,79,188,3,10000,0.25,0.025966
16,79,189,2,10000,0.25,0.027919
16,79,190,3,10000,0.25,0.026265
16,79,191,3,10000,0.25,0.026135
16,79,192,2,10000,0.25,0.029478
16,79,193,2,10000,0.25,0.027955
16,79,194,2,10000,0.25,0.02568
16,79,195,1,10000,0.25,0.025068
16,79,196,3,10000,0.25,0.027575
16,79,197,2,10000,0.25,0.027205
16,79,198,1,10000,0.25,0.031772
16,79,199,2,10000,0.25,0.024766
16,79,200,2,10000,0.25,0.025035
16,79,201,3,10000,0.25,0.026855
16,79,202,2,10000,0.25,0.027291
16,79,203,3,10000,0.25,0.026366
16,79,204,2,10000,0.25,0.024762
16,79,205,2,10000,0.25,0.028587
16,79,206,2,10000,0.25,0.024323
16,79,207,3,10000,0.25,0.025373
16,79,208,2,10000,0.25,0.025521
16,79,209,3,10000,0.25,0.023659
16,79,210,3,10000,0.25,0.023887
16,79,211,1,10000,0.25,0.024529
16,79,212,2,10000,0.25,0.026082
16,79,213,2,10000,0.25,0.025564
16,79,214,2,10000,0.25,0.026568
16,79,215,2,10000,0.25,0.026411
16,79,216,2,10000,0.25,0.033995
16,79,217,3,10000,0.25,0.025989
16,79,218,3,10000,0.25,0.027513
16,79,219,1,10000,0.25,0.024894
16,79,220,2,10000,0.25,0.02543
16,79,221,2,10000,0.25,0.02785
16,79,222,1,10000,0.25,0.026276
16,79,223,3,10000,0.25,0.031126
16,79,224,1,10000,0.25,0.027488
16,79,225,1,10000,0.25,0.028005
16,79,226,3,10000,0.25,0.031225
16,79,227,3,10000,0.25,0.028499
16,79,228,2,10000,0.25,0.026087
16,79,229,2,10000,0.25,0.027368
16,79,230,2,10000,0.25,0.027692
16,79,231,2,10000,0.25,0.02588
16,79,232,3,10000,0.25,0.028221
16,79,233,3,10000,0.25,0.025831
16,79,234,2,10000,0.25,0.026467
16,79,235,3,10000,0.25,0.026134
16,79,236,2,10000,0.25,0.024964
16,79,237,2,10000,0.25,0.029967
16,79,238,1,10000,0.25,0.025029
16,79,239,3,10000,0.25,0.026027
16,79,240,2,10000,0.25,0.028341
16,79,241,2,10000,0.25,0.026127
16,79,242,0,10000,0.25,0.000248
16,79,243,2,10000,0.25,0.029269
16,79,244,2,10000,0.25,0.026001
16,79,245,2,10000,0.25,0.026685
16,79,246,2,10000,0.25,0.025218
16,79,247,2,10000,0.25,0.028049
16,79,248,2,10000,0.25,0.02665
16,79,249,4,10000,0.25,0.026646
16,79,250,3,10000,0.25,0.026446
16,79,251,1,10000,0.25,0.024958
16,79,252,2,10000,0.25,0.024823
16,79,253,3,10000,0.25,0.026214
16,79,254,2,10000,0.25,0.02861
16,79,255,2,10000,0.25,0.026786
16,79,256,1,10000,0.25,0.024627
16,79,257,1,10000,0.25,0.023709
16,79,258,1,10000,0.25,0.026578
16,79,259,3,10000,0.25,0.025632
16,79,260,3,10000,0.25,0.026759
16,79,261,1,10000,0.25,0.023958
16,79,262,3,10000,0.25,0.028627
16,79,263,3,10000,0.25,0.024354
16,79,264,1,10000,0.25,0.02529
16,79,265,3,10000,0.25,0.025316
16,79,266,3,10000,0.25,0.025248
16,79,267,4,10000,0.25,0.027789
16,79,268,3,10000,0.25,0.027673
16,79,269,2,10000,0.25,0.030048
16,79,270,2,10000,0.25,0.025284
16,79,271,3,10000,0.25,0.027533
16,79,272,1,10000,0.25,0.02509
16,79,273,3,10000,0.25,0.02498
16,79,274,3,10000,0.25,0.028009
16,79,275,2,10000,0.25,0.028646
16,79,276,2,10000,0.25,0.027243
16,79,277,3,10000,0.25,0.026187
16,79,278,3,10000,0.25,0.032048
16,79,279,2,10000,0.25,0.025417
16,79,280,3,10000,0.25,0.024437
16,79,281,2,10000,0.25,0.023483
16,79,282,3,10000,0.25,0.025904
16,79,283,2,10000,0.25,0.031489
16,79,284,2,10000,0.25,0.024757
16,79,285,2,10000,0.25,0.026644
16,79,286,2,10000,0.25,0.026281
16,79,287,2,10000,0.25,0.024818
16,79,288,2,10000,0.25,0.025394
16,79,289,2,10000,0.25,0.024524
16,79,290,3,10000,0.25,0.025272
16,79,291,1,10000,0.25,0.026441
16,79,292,2,10000,0.25,0.02698
16,79,293,2,10000,0.25,0.024417
16,79,294,2,10000,0.25,0.02488
16,79,295,2,10000,0.25,0.026721
16,79,296,3,10000,0.25,0.025048
16,79,297,3,10000,0.25,0.025921
16,79,298,2,10000,0.25,0.022784
16,79,299,2,10000,0.25,0.02579
16,79,300,2,10000,0.25,0.025063
16,79,301,2,10000,0.25,0.025416
16,79,302,2,10000,0.25,0.027135
16,79,303,1,10000,0.25,0.025374
16,79,304,2,10000,0.25,0.025873
16,79,305,2,10000,0.25,0.025235
16,79,306,1,10000,0.25,0.027622
16,79,307,4,10000,0.25,0.027933
16,79,308,3,10000,0.25,0.027622
16,79,309,2,10000,0.25,0.028944
16,79,310,4,10000,0.25,0.035123
16,79,311,2,10000,0.25,0.026198
16,79,312,2,10000,0.25,0.025762
16,79,313,2,10000,0.25,0.026431
16,79,314,2,10000,0.25,0.025331
16,79,315,1,10000,0.25,0.026474
16,79,316,1,10000,0.25,0.024457
16,79,317,2,10000,0.25,0.02573
16,79,318,3,10000,0.25,0.025912
16,79,319,2,10000,0.25,0.028197
16,79,320,2,10000,0.25,0.025599
16,79,321,3,10000,0.25,0.025759
16,79,322,3,10000,0.25,0.027614
16,79,323,1,10000,0.25,0.027191
16,79,324,3,10000,0.25,0.028066
16,79,325,3,10000,0.25,0.025478
16,79,326,2,10000,0.25,0.027401
16,79,327,2,10000,0.25,0.026141
16,79,328,1,10000,0.25,0.024964
16,79,329,3,10000,0.25,0.02502
16,79,330,2,10000,0.25,0.02457
16,79,331,2,10000,0.25,0.025145
16,79,332,2,10000,0.25,0.028158
16,79,333,2,10000,0.25,0.028794
16,79,334,2,10000,0.25,0.027743
16,79,335,2,10000,0.25,0.031202
16,79,336,2,10000,0.25,0.025909
16,79,337,3,10000,0.25,0.028222
16,79,338,2,10000,0.25,0.026408
16,79,339,2,10000,0.25,0.024902
16,79,340,3,10000,0.25,0.028252
16,79,341,2,10000,0.25,0.025971
16,79,342,2,10000,0.25,0.026272
16,79,343,2,10000,0.25,0.025969
16,79,344,2,10000,0.25,0.025008
16,79,345,2,10000,0.25,0.027405
16,79,346,3,10000,0.25,0.025497
16,79,347,2,10000,0.25,0.025603
16,79,348,3,10000,0.25,0.03186
16,79,349,3,10000,0.25,0.025568
16,79,350,3,10000,0.25,0.030423
16,79,351,1,10000,0.25,0.027858
16,79,352,2,10000,0.25,0.025683
16,79,353,1,10000,0.25,0.024725
16,79,354,3,10000,0.25,0.025398
16,79,355,3,10000,0.25,0.027933
16,79,356,3,10000,0.25,0.026686
16,79,357,2,10000,0.25,0.02612
16,79,358,2,10000,0.25,0.024746
16,79,359,3,10000,0.25,0.026937
16,79,360,2,10000,0.25,0.028519
16,79,361,1,10000,0.25,0.024211
16,79,362,2,10000,0.25,0.02545
16,79,363,2,10000,0.25,0.025111
16,79,364,2,10000,0.25,0.024194
16,79,365,2,10000,0.25,0.033937
16,79,366,2,10000,0.25,0.024897
16,79,367,3,10000,0.25,0.026472
16,79,368,1,10000,0.25,0.031499
16,79,369,3,10000,0.25,0.025373
16,79,370,2,10000,0.25,0.027549
16,79,371,1,10000,0.25,0.026403
16,79,372,3,10000,0.25,0.025836
16,79,373,1,10000,0.25,0.024998
16,79,374,3,10000,0.25,0.026535
16,79,375,3,10000,0.25,0.033831
16,79,376,4,10000,0.25,0.02632
16,79,377,2,10000,0.25,0.024698
16,79,378,2,10000,0.25,0.028302
16,79,379,3,10000,0.25,0.025849
16,79,380,1,10000,0.25,0.029127
16,79,381,3,10000,0.25,0.02595
16,79,382,2,10000,0.25,0.025711
16,79,383,2,10000,0.25,0.029194
16,79,384,2,10000,0.25,0.024396
16,79,385,3,10000,0.25,0.02853
16,79,386,3,10000,0.25,0.027561
16,79,387,1,10000,0.25,0.023549
16,79,388,2,10000,0.25,0.025499
16,79,389,2,10000,0.25,0.025345
16,79,390,2,10000,0.25,0.029816
16,79,391,3,10000,0.25,0.02756
16,79,392,2,10000,0.25,0.02819
16,79,393,2,10000,0.25,0.03066
16,79,394,2,10000,0.25,0.029692
16,79,395,2,10000,0.25,0.033355
16,79,396,3,10000,0.25,0.027199
16,79,397,3,10000,0.25,0.027887
16,79,398,3,10000,0.25,0.026019
16,79,399,2,10000,0.25,0.033982
16,79,400,3,10000,0.25,0.032304
16,82,1,3,10000,0.25,0.028287
16,82,2,3,10000,0.25,0.028303
16,82,3,3,10000,0.25,0.027867
16,82,4,4,10000,0.25,0.030004
16,82,5,3,10000,0.25,0.027107
16,82,6,2,10000,0.25,0.02662
16,82,7,3,10000,0.25,0.029286
16,82,8,2,10000,0.25,0.028059
16,82,9,3,10000,0.25,0.02625
16,82,10,2,10000,0.25,0.032232
16,82,11,3,10000,0.25,0.034123
16,82,12,3,10000,0.25,0.025654
16,82,13,3,10000,0.25,0.03037
16,82,14,2,10000,0.25,0.035044
16,82,15,2,10000,0.25,0.027053
16,82,16,4,10000,0.25,0.024854
16,82,17,3,10000,0.25,0.026096
16,82,18,2,10000,0.25,0.025505
16,82,19,3,10000,0.25,0.02841
16,82,20,3,10000,0.25,0.025859
16,82,21,1,10000,0.25,0.024256
16,82,22,3,10000,0.25,0.030663
16,82,23,2,10000,0.25,0.02877
16,82,24,2,10000,0.25,0.025562
16,82,25,2,10000,0.25,0.030404
16,82,26,3,10000,0.25,0.025421
16,82,27,3,10000,0.25,0.027944
16,82,28,2,10000,0.25,0.027486
16,82,29,3,10000,0.25,0.025598
16,82,30,2,10000,0.25,0.02955
16,82,31,2,10000,0.25,0.027928
16,82,32,2,10000,0.25,0.031136
16,82,33,2,10000,0.25,0.028397
16,82,34,2,10000,0.25,0.025443
16,82,35,3,10000,0.25,0.028874
16,82,36,2,10000,0.25,0.025226
16,82,37,3,10000,0.25,0.027337
16,82,38,3,10000,0.25,0.025603
16,82,39,2,10000,0.25,0.027808
16,82,40,2,10000,0.25,0.032149
16,82,41,2,10000,0.25,0.025516
16,82,42,3,10000,0.25,0.026849
16,82,43,2,10000,0.25,0.026064
16,82,44,2,10000,0.25,0.025714
16,82,45,3,10000,0.25,0.024389
16,82,46,3,10000,0.25,0.024223
16,82,47,4,10000,0.25,0.033766
16,82,48,4,10000,0.25,0.026811
16,82,49,3,10000,0.25,0.028198
16,82,50,3,10000,0.25,0.026986
16,82,51,4,10000,0.25,0.027199
16,82,52,2,10000,0.25,0.026987
16,82,53,2,10000,0.25,0.025772
16,82,54,3,10000,0.25,0.032516
16,82,55,3,10000,0.25,0.028975
16,82,56,2,10000,0.25,0.027285
16,82,57,3,10000,0.25,0.0258
16,82,58,2,10000,0.25,0.026298
16,82,59,3,10000,0.25,0.02557
16,82,60,3,10000,0.25,0.026891
16,82,61,4,10000,0.25,0.031102
16,82,62,2,10000,0.25,0.025895
16,82,63,3,10000,0.25,0.025635
16,82,64,3,10000,0.25,0.034866
16,82,65,3,10000,0.25,0.026497
16,82,66,3,10000,0.25,0.025628
16,82,67,4,10000,0.25,0.026148
16,82,68,4,10000,0.25,0.024724
16,82,69,3,10000,0.25,0.032499
16,82,70,2,10000,0.25,0.026072
16,82,71,2,10000,0.25,0.025633
16,82,72,2,10000,0.25,0.025352
16,82,73,3,10000,0.25,0.031756
16,82,74,1,10000,0.25,0.024993
16,82,75,3,10000,0.25,0.028106
16,82,76,3,10000,0.25,0.026213
16,82,77,3,10000,0.25,0.026572
16,82,78,2,10000,0.25,0.025131
16,82,79,4,10000,0.25,0.029458
16,82,80,3,10000,0.25,0.027423
16,82,81,3,10000,0.25,0.033202
16,82,82,4,10000,0.25,0.035203
16,82,83,3,10000,0.25,0.032839
16,82,84,2,10000,0.25,0.033542
16,82,85,2,10000,0.25,0.030206
16,82,86,3,10000,0.25,0.032114
16,82,87,3,10000,0.25,0.025911
16,82,88,3,10000,0.25,0.026068
16,82,89,2,10000,0.25,0.026332
16,82,90,2,10000,0.25,0.025462
16,82,91,3,10000,0.25,0.025969
16,82,92,3,10000,0.25,0.028523
16,82,93,3,10000,0.25,0.025364
16,82,94,3,10000,0.25,0.024531
16,82,95,3,10000,0.25,0.027858
16,82,96,2,10000,0.25,0.025502
16,82,97,3,10000,0.25,0.026927
16,82,98,3,10000,0.25,0.02563
16,82,99,3,10000,0.25,0.026357
16,82,100,3,10000,0.25,0.032665
16,82,101,2,10000,0.25,0.034829
16,82,102,3,10000,0.25,0.031921
16,82,103,2,10000,0.25,0.032623
16,82,104,2,10000,0.25,0.031922
16,82,105,3,10000,0.25,0.033081
16,82,106,2,10000,0.25,0.032685
16,82,107,3,10000,0.25,0.032331
16,82,108,2,10000,0.25,0.033641
16,82,109,2,10000,0.25,0.028352
16,82,110,2,10000,0.25,0.026858
16,82,111,2,10000,0.25,0.033547
16,82,112,2,10000,0.25,0.028436
16,82,113,3,10000,0.25,0.033448
16,82,114,1,10000,0.25,0.026409
16,82,115,3,10000,0.25,0.03448
16,82,116,3,10000,0.25,0.031663
16,82,117,2,10000,0.25,0.032612
16,82,118,2,10000,0.25,0.0327
16,82,119,2,10000,0.25,0.028138
16,82,120,3,10000,0.25,0.028198
16,82,121,2,10000,0.25,0.025945
16,82,122,3,10000,0.25,0.03291
16,82,123,3,10000,0.25,0.033752
16,82,124,2,10000,0.25,0.029673
16,82,125,2,10000,0.25,0.027062
16,82,126,3,10000,0.25,0.028872
16,82,127,2,10000,0.25,0.026562
16,82,128,2,10000,0.25,0.027512
16,82,129,4,10000,0.25,0.029522
16,82,130,3,10000,0.25,0.027845
16,82,131,3,10000,0.25,0.032373
16,82,132,3,10000,0.25,0.031178
16,82,133,4,10000,0.25,0.034036
16,82,134,3,10000,0.25,0.03587
16,82,135,3,10000,0.25,0.032705
16,82,136,4,10000,0.25,0.033383
16,82,137,3,10000,0.25,0.030265
16,82,138,1,10000,0.25,0.027185
16,82,139,3,10000,0.25,0.027311
16,82,140,2,10000,0.25,0.029517
16,82,141,3,10000,0.25,0.030585
16,82,142,2,10000,0.25,0.03401
16,82,143,3,10000,0.25,0.026263
16,82,144,3,10000,0.25,0.028116
16,82,145,3,10000,0.25,0.029497
16,82,146,2,10000,0.25,0.025483
16,82,147,1,10000,0.25,0.029043
16,82,148,3,10000,0.25,0.028045
16,82,149,3,10000,0.25,0.02809
16,82,150,3,10000,0.25,0.023751
16,82,151,3,10000,0.25,0.025266
16,82,152,4,10000,0.25,0.02594
16,82,153,3,10000,0.25,0.028406
16,82,154,2,10000,0.25,0.026985
16,82,155,3,10000,0.25,0.034092
16,82,156,3,10000,0.25,0.025236
16,82,157,3,10000,0.25,0.02523
16,82,158,4,10000,0.25,0.026658
16,82,159,3,10000,0.25,0.025877
16,82,160,3,10000,0.25,0.026797
16,82,161,3,10000,0.25,0.026908
16,82,162,3,10000,0.25,0.028393
16,82,163,3,10000,0.25,0.031525
16,82,164,2,10000,0.25,0.029877
16,82,165,1,10000,0.25,0.030191
16,82,166,3,10000,0.25,0.025914
16,82,167,2,10000,0.25,0.026213
16,82,168,1,10000,0.25,0.023631
16,82,169,3,10000,0.25,0.023816
16,82,170,3,10000,0.25,0.025633
16,82,171,3,10000,0.25,0.026593
16,82,172,3,10000,0.25,0.026886
16,82,173,4,10000,0.25,0.026322
16,82,174,3,10000,0.25,0.027492
16,82,175,3,10000,0.25,0.029307
16,82,176,3,10000,0.25,0.02824
16,82,177,2,10000,0.25,0.026188
16,82,178,3,10000,0.25,0.027516
16,82,179,2,10000,0.25,0.025509
16,82,180,2,10000,0.25,0.025495
16,82,181,4,10000,0.25,0.031065
16,82,182,3,10000,0.25,0.025428
16,82,183,3,10000,0.25,0.025618
16,82,184,2,10000,0.25,0.029737
16,82,185,4,10000,0.25,0.027734
16,82,186,2,10000,0.25,0.033716
16,82,187,4,10000,0.25,0.026958
16,82,188,3,10000,0.25,0.028372
16,82,189,3,10000,0.25,0.03166
16,82,190,3,10000,0.25,0.026599
16,82,191,2,10000,0.25,0.025692
16,82,192,2,10000,0.25,0.02813
16,82,193,1,10000,0.25,0.024131
16,82,194,2,10000,0.25,0.02861
16,82,195,2,10000,0.25,0.03395
16,82,196,2,10000,0.25,0.023446
16,82,197,2,10000,0.25,0.025414
16,82,198,1,10000,0.25,0.023702
16,82,199,3,10000,0.25,0.028634
16,82,200,3,10000,0.25,0.025408
16,82,201,2,10000,0.25,0.027644
16,82,202,2,10000,0.25,0.026082
16,82,203,2,10000,0.25,0.025394
16,82,204,3,10000,0.25,0.02614
16,82,205,2,10000,0.25,0.026926
16,82,206,3,10000,0.25,0.026755
16,82,207,4,10000,0.25,0.026587
16,82,208,2,10000,0.25,0.024869
16,82,209,4,10000,0.25,0.028596
16,82,210,3,10000,0.25,0.027707
16,82,211,1,10000,0.25,0.028976
16,82,212,4,10000,0.25,0.02751
16,82,213,3,10000,0.25,0.025961
16,82,214,3,10000,0.25,0.023958
16,82,215,1,10000,0.25,0.026049
16,82,216,2,10000,0.25,0.023593
16,82,217,3,10000,0.25,0.025952
16,82,218,4,10000,0.25,0.027352
16,82,219,2,10000,0.25,0.02795
16,82,220,2,10000,0.25,0.0284
16,82,221,3,10000,0.25,0.028432
16,82,222,3,10000,0.25,0.035177
16,82,223,2,10000,0.25,0.030373
16,82,224,3,10000,0.25,0.030885
16,82,225,4,10000,0.25,0.026127
16,82,226,3,10000,0.25,0.0257
16,82,227,2,10000,0.25,0.026558
16,82,228,3,10000,0.25,0.026357
16,82,229,2,10000,0.25,0.025285
16,82,230,2,10000,0.25,0.024977
16,82,231,2,10000,0.25,0.026641
16,82,232,2,10000,0.25,0.025053
16,82,233,4,10000,0.25,0.028988
16,82,234,3,10000,0.25,0.028452
16,82,235,2,10000,0.25,0.027992
16,82,236,3,10000,0.25,0.02896
16,82,237,3,10000,0.25,0.027509
16,82,238,2,10000,0.25,0.027898
16,82,239,2,10000,0.25,0.027994
16,82,240,3,10000,0.25,0.026744
16,82,241,3,10000,0.25,0.026556
16,82,242,3,10000,0.25,0.028289
16,82,243,2,10000,0.25,0.025065
16,82,244,4,10000,0.25,0.028751
16,82,245,4,10000,0.25,0.025456
16,82,246,1,10000,0.25,0.026633
16,82,247,2,10000,0.25,0.026485
16,82,248,2,10000,0.25,0.025042
16,82,249,3,10000,0.25,0.028794
16,82,250,4,10000,0.25,0.027616
16,82,251,3,10000,0.25,0.027787
16,82,252,2,10000,0.25,0.02597
16,82,253,2,10000,0.25,0.026574
16,82,254,3,10000,0.25,0.026578
16,82,255,2,10000,0.25,0.025991
16,82,256,3,10000,0.25,0.02574
16,82,257,3,10000,0.25,0.025837
16,82,258,2,10000,0.25,0.025961
16,82,259,3,10000,0.25,0.03003
16,82,260,2,10000,0.25,0.027226
16,82,261,1,10000,0.25,0.025087
16,82,262,3,10000,0.25,0.028284
16,82,263,3,10000,0.25,0.031186
16,82,264,4,10000,0.25,0.033041
16,82,265,2,10000,0.25,0.028042
16,82,266,3,10000,0.25,0.029736
16,82,267,3,10000,0.25,0.028406
16,82,268,2,10000,0.25,0.026218
16,82,269,1,10000,0.25,0.024799
16,82,270,2,10000,0.25,0.034055
16,82,271,2,10000,0.25,0.026305
16,82,272,2,10000,0.25,0.0344
16,82,273,3,10000,0.25,0.032646
16,82,274,2,10000,0.25,0.024577
16,82,275,2,10000,0.25,0.02501
16,82,276,2,10000,0.25,0.025095
16,82,277,3,10000,0.25,0.032226
16,82,278,3,10000,0.25,0.026274
16,82,279,2,10000,0.25,0.027093
16,82,280,3,10000,0.25,0.028531
16,82,281,3,10000,0.25,0.02554
16,82,282,3,10000,0.25,0.027101
16,82,283,2,10000,0.25,0.025454
16,82,284,3,10000,0.25,0.028308
16,82,285,4,10000,0.25,0.029222
16,82,286,1,10000,0.25,0.024628
16,82,287,3,10000,0.25,0.028528
16,82,288,4,10000,0.25,0.030512
16,82,289,2,10000,0.25,0.028069
16,82,290,3,10000,0.25,0.034036
16,82,291,3,10000,0.25,0.02475
16,82,292,3,10000,0.25,0.024532
16,82,293,2,10000,0.25,0.032434
16,82,294,3,10000,0.25,0.026119
16,82,295,3,10000,0.25,0.026897
16,82,296,3,10000,0.25,0.025689
16,82,297,3,10000,0.25,0.02676
